As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,tconst,imdb_title,genres,averageRating,numVotes
2020-04-04,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18,tt11958942,How to Fix a Drug Scandal,"Crime,Documentary",7.0,4033
2020-04-04,7,6,-,The Roommate,Movie,,"Apr 1, 2020",3,13,tt1265990,The Roommate,"Drama,Horror,Thriller",4.8,43300
2020-04-04,8,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-04,9,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14,tt9815454,Unorthodox,Drama,8.0,97895
2020-04-04,10,8,-,The Players Club,Movie,,"Apr 1, 2020",2,4,tt0119905,The Players Club,"Comedy,Drama",5.8,8081
2020-04-05,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130,,,,,
2020-04-05,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-05,3,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-05,4,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-05,5,4,3,All American,TV Show,,"Mar 28, 2019",13,105,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-05,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23,tt11958942,How to Fix a Drug Scandal,"Crime,Documentary",7.0,4033
2020-04-05,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-05,8,7,-,The Roommate,Movie,,"Apr 1, 2020",4,16,tt1265990,The Roommate,"Drama,Horror,Thriller",4.8,43300
2020-04-05,9,-,-,Angel Has Fallen,Movie,,"Apr 4, 2020",1,2,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-05,10,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15,tt9815454,Unorthodox,Drama,8.0,97895
2020-04-06,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140,,,,,
2020-04-06,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-06,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-06,4,9,-,Angel Has Fallen,Movie,,"Apr 4, 2020",2,9,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-06,5,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-06,6,5,3,All American,TV Show,,"Mar 28, 2019",14,110,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-06,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27,tt11958942,How to Fix a Drug Scandal,"Crime,Documentary",7.0,4033
2020-04-06,8,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-06,9,8,-,The Roommate,Movie,,"Apr 1, 2020",5,18,tt1265990,The Roommate,"Drama,Horror,Thriller",4.8,43300
2020-04-06,10,-,-,The Hangover,Movie,,"Jul 1, 2019",1,1,tt1119646,The Hangover,Comedy,7.7,910650
2020-04-07,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150,,,,,
2020-04-07,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-07,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-07,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",3,16,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-07,5,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-07,6,6,3,All American,TV Show,,"Mar 28, 2019",15,115,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-07,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-07,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-07,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29,tt11958942,How to Fix a Drug Scandal,"Crime,Documentary",7.0,4033
2020-04-07,10,-,-,Legacies,TV Show,,"Apr 5, 2019",1,1,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-08,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160,,,,,
2020-04-08,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-08,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-08,4,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-08,5,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",4,22,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-08,6,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-08,7,6,3,All American,TV Show,,"Mar 28, 2019",16,119,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-08,8,10,-,Legacies,TV Show,,"Apr 5, 2019",2,4,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-08,9,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-08,10,-,-,The Hangover,Movie,,"Jul 1, 2019",2,2,tt1119646,The Hangover,Comedy,7.7,910650
2020-04-09,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170,,,,,
2020-04-09,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-09,3,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-09,4,5,-,Angel Has Fallen,Movie,,"Apr 4, 2020",5,29,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-09,5,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",6,44,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-09,6,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",6,37,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-09,7,7,3,All American,TV Show,,"Mar 28, 2019",17,123,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-09,8,8,-,Legacies,TV Show,,"Apr 5, 2019",3,7,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-09,9,9,4,Nailed It!,TV Show,Yes,"Mar 9, 2018",8,30,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-09,10,10,-,The Hangover,Movie,,"Jul 1, 2019",3,3,tt1119646,The Hangover,Comedy,7.7,910650
2020-04-10,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180,,,,,
2020-04-10,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-10,3,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-10,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",6,36,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-10,5,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",7,43,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-10,6,7,3,All American,TV Show,,"Mar 28, 2019",18,128,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-10,7,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",7,48,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-10,8,8,-,Legacies,TV Show,,"Apr 5, 2019",4,10,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-10,9,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-10,10,-,-,Community,TV Show,,"Apr 1, 2020",1,1,tt1439629,Community,Comedy,8.5,307681
2020-04-11,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190,,,,,
2020-04-11,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-11,3,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",7,44,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-11,4,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",5,34,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-11,5,5,3,Money Heist,TV Show,Yes,"Dec 20, 2017",8,49,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-11,6,-,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",1,5,tt5096470,Love Wedding Repeat,"Comedy,Romance",5.6,23025
2020-04-11,7,6,4,All American,TV Show,,"Mar 28, 2019",19,132,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-11,8,7,5,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",8,51,tt9898858,Coffee & Kareem,"Action,Comedy,Crime",5.2,15170
2020-04-11,9,8,-,Legacies,TV Show,,"Apr 5, 2019",5,12,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-11,10,9,8,Nailed It!,TV Show,Yes,"Mar 9, 2018",10,33,tt6987788,Nailed It!,"Game-Show,Reality-TV",7.4,5672
2020-04-12,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200,,,,,
2020-04-12,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-12,3,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",2,13,tt5096470,Love Wedding Repeat,"Comedy,Romance",5.6,23025
2020-04-12,4,3,9,Angel Has Fallen,Movie,,"Apr 4, 2020",8,51,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-12,5,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",6,40,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-12,6,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-12,7,-,-,Code 8,Movie,,"Apr 11, 2020",1,4,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-12,8,7,5,All American,TV Show,,"Mar 28, 2019",20,135,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-12,9,9,-,Legacies,TV Show,,"Apr 5, 2019",6,14,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-12,10,-,-,Community,TV Show,,"Apr 1, 2020",2,2,tt1439629,Community,Comedy,8.5,307681
2020-04-13,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210,,,,,
2020-04-13,2,7,-,Code 8,Movie,,"Apr 11, 2020",2,13,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-13,3,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",17,152,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-13,4,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",9,58,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-13,5,3,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",3,19,tt5096470,Love Wedding Repeat,"Comedy,Romance",5.6,23025
2020-04-13,6,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",10,59,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-13,7,-,-,Hop,Movie,,"Jan 16, 2020",1,4,tt1411704,Hop,"Adventure,Animation,Comedy",5.4,39873
2020-04-13,8,5,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",7,43,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-13,9,8,6,All American,TV Show,,"Mar 28, 2019",21,137,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-13,10,-,-,The Main Event,Movie,Yes,"Apr 10, 2020",1,1,tt0079510,The Main Event,"Comedy,Romance,Sport",5.6,3540
2020-04-14,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220,,,,,
2020-04-14,2,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-14,3,2,-,Code 8,Movie,,"Apr 11, 2020",3,21,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-14,4,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",11,66,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-14,5,9,6,All American,TV Show,,"Mar 28, 2019",22,143,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-14,6,5,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",4,24,tt5096470,Love Wedding Repeat,"Comedy,Romance",5.6,23025
2020-04-14,7,8,7,The Big Show Show,TV Show,Yes,"Apr 6, 2020",8,47,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-14,8,10,-,The Main Event,Movie,Yes,"Apr 10, 2020",2,4,tt0079510,The Main Event,"Comedy,Romance,Sport",5.6,3540
2020-04-14,9,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",10,60,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-14,10,-,10,Legacies,TV Show,,"Apr 5, 2019",7,15,tt8103070,Legacies,"Adventure,Drama,Fantasy",7.2,41043
2020-04-15,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230,,,,,
2020-04-15,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-15,3,3,-,Code 8,Movie,,"Apr 11, 2020",4,29,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-15,4,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",1,7,,,,,
2020-04-15,5,4,6,Money Heist,TV Show,Yes,"Dec 20, 2017",12,72,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-15,6,5,7,All American,TV Show,,"Mar 28, 2019",23,148,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-15,7,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-15,8,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",5,27,tt5096470,Love Wedding Repeat,"Comedy,Romance",5.6,23025
2020-04-15,9,8,-,The Main Event,Movie,Yes,"Apr 10, 2020",3,6,tt0079510,The Main Event,"Comedy,Romance,Sport",5.6,3540
2020-04-15,10,9,5,Angel Has Fallen,Movie,,"Apr 4, 2020",11,61,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-16,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240,,,,,
2020-04-16,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-16,3,3,-,Code 8,Movie,,"Apr 11, 2020",5,37,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-16,4,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",2,14,,,,,
2020-04-16,5,-,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",1,6,tt11958922,The Innocence Files,"Crime,Documentary",7.9,3365
2020-04-16,6,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",1,5,tt10293938,Outer Banks,"Action,Crime,Drama",7.5,101710
2020-04-16,7,6,7,All American,TV Show,,"Mar 28, 2019",24,152,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-16,8,5,6,Money Heist,TV Show,Yes,"Dec 20, 2017",13,75,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-16,9,7,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",10,53,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-16,10,10,4,Angel Has Fallen,Movie,,"Apr 4, 2020",12,62,tt6189022,Angel Has Fallen,"Action,Thriller",6.4,120481
2020-04-17,1,-,-,Despicable Me,Movie,,"Apr 16, 2020",1,10,tt1323594,Despicable Me,"Adventure,Animation,Comedy",7.6,622141
2020-04-17,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249,,,,,
2020-04-17,3,6,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",2,13,tt10293938,Outer Banks,"Action,Crime,Drama",7.5,101710
2020-04-17,4,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",21,186,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-17,5,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",2,12,tt11958922,The Innocence Files,"Crime,Documentary",7.9,3365
2020-04-17,6,3,-,Code 8,Movie,,"Apr 11, 2020",6,42,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-17,7,7,6,All American,TV Show,,"Mar 28, 2019",25,156,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-17,8,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",14,78,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-17,9,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",3,16,,,,,
2020-04-17,10,9,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",11,54,tt10726356,The Big Show Show,"Comedy,Family",6.3,3029
2020-04-18,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",2,20,tt1323594,Despicable Me,"Adventure,Animation,Comedy",7.6,622141
2020-04-18,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258,,,,,
2020-04-18,3,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",3,21,tt10293938,Outer Banks,"Action,Crime,Drama",7.5,101710
2020-04-18,4,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",22,193,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-18,5,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",1,6,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2020-04-18,6,-,-,#blackAF,TV Show,Yes,"Apr 17, 2020",1,5,tt10311562,#BlackAF,Comedy,6.8,5563
2020-04-18,7,6,-,Code 8,Movie,,"Apr 11, 2020",7,46,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-18,8,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",3,15,tt11958922,The Innocence Files,"Crime,Documentary",7.9,3365
2020-04-18,9,7,7,All American,TV Show,,"Mar 28, 2019",26,158,tt7414406,All American,"Drama,Sport",7.6,16118
2020-04-18,10,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",15,79,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-19,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",3,30,tt1323594,Despicable Me,"Adventure,Animation,Comedy",7.6,622141
2020-04-19,2,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2020-04-19,3,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",27,266,,,,,
2020-04-19,4,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",4,28,tt10293938,Outer Banks,"Action,Crime,Drama",7.5,101710
2020-04-19,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",2,11,tt10311562,#BlackAF,Comedy,6.8,5563
2020-04-19,6,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",23,198,tt5071412,Ozark,"Crime,Drama,Thriller",8.4,382255
2020-04-19,7,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",4,19,tt11958922,The Innocence Files,"Crime,Documentary",7.9,3365
2020-04-19,8,7,7,Code 8,Movie,,"Apr 11, 2020",8,49,tt6259380,Code 8,"Action,Crime,Drama",6.1,57139
2020-04-19,9,-,-,Waco,TV Show,,"Apr 16, 2020",1,2,tt6040674,Waco,"Crime,Drama,History",7.8,28075
2020-04-19,10,10,6,Money Heist,TV Show,Yes,"Dec 20, 2017",16,80,tt6468322,Money Heist,"Action,Crime,Drama",8.2,589289
2020-04-20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",4,40,tt1323594,Despicable Me,"Adventure,Animation,Comedy",7.6,622141
2020-04-20,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
